speed_rpm,torque_Nm,p_dc_W,p_mech_W,p_ac_W,eta_inverter,eta_motor,eta_total,v_dc_V,i_dc_A,v_ac_V,i_ac_A,t_stator_C
2104,40.4,10026,8908,9755,0.973,0.913,0.889,504.5,20.89,186.4,25.8,71.0
2104,70.4,17106,15513,16666,0.974,0.931,0.907,504.4,34.83,204.5,38.8,74.7
2104,90.0,21659,19832,21238,0.981,0.934,0.916,504.4,43.82,220.7,46.7,79.5
2104,99.7,23997,21975,23540,0.981,0.934,0.916,504.0,48.45,220.6,50.8,82.1
2104,129.3,30821,28496,30311,0.983,0.940,0.925,504.2,61.98,227.4,63.3,93.6
2104,198.1,48496,43661,47740,0.984,0.915,0.900,503.7,97.16,233.4,100.5,140.7
2105,139.4,33132,30730,32620,0.985,0.942,0.928,503.6,66.83,227.7,67.9,97.1
2105,148.8,35864,32804,35303,0.984,0.929,0.915,504.1,72.18,227.9,73.4,103.7
2105,158.7,38106,34993,37546,0.985,0.932,0.918,503.9,76.52,231.2,77.3,111.5
2105,168.2,40548,37081,39959,0.985,0.928,0.915,503.8,81.51,232.0,82.5,118.6
2105,178.6,43223,39378,42566,0.985,0.925,0.911,503.7,86.81,233.0,88.0,127.6
2106,20.4,5251,4494,5112,0.974,0.879,0.856,504.4,11.54,177.9,14.8,71.3
2106,49.7,12075,10955,11786,0.976,0.929,0.907,504.4,24.81,192.5,29.8,71.7
2106,59.4,14448,13100,14210,0.984,0.922,0.907,504.5,29.55,202.2,34.0,72.4
2106,109.3,26090,24114,25682,0.984,0.939,0.924,504.1,52.83,224.5,54.7,86.7
2106,187.8,45739,41427,45026,0.984,0.920,0.906,503.7,91.83,231.9,94.8,126.0
2106,208.4,51326,45955,50499,0.984,0.910,0.895,503.6,102.90,234.5,106.3,155.9
2302,129.9,33763,31326,33411,0.990,0.938,0.928,496.5,69.10,241.2,66.2,88.3
2302,139.4,36593,33620,36189,0.989,0.929,0.919,496.5,75.02,240.6,73.4,96.7
2303,29.8,8047,7195,7902,0.982,0.910,0.894,496.7,17.56,231.8,19.7,46.8
2303,58.2,15255,14042,15079,0.988,0.931,0.920,496.7,31.77,238.9,33.3,57.3
2303,89.4,23158,21571,22906,0.989,0.942,0.931,496.6,47.59,240.2,46.2,67.3
2303,110.8,28530,26730,28142,0.986,0.950,0.937,496.3,58.41,240.3,55.8,73.0
2303,149.1,39151,35972,38645,0.987,0.931,0.919,496.2,80.13,241.1,78.6,105.2
2303,159.5,42021,38469,41509,0.988,0.927,0.915,496.2,85.86,241.4,84.7,114.7
2303,169.8,44918,40959,44357,0.988,0.923,0.912,496.1,91.57,240.4,90.4,124.7
2303,188.6,51287,45490,50545,0.986,0.900,0.887,496.1,104.48,240.4,109.1,186.7
2304,19.0,5247,4594,5151,0.982,0.892,0.876,496.7,12.10,227.6,14.0,44.9
2304,39.4,10484,9519,10314,0.984,0.923,0.908,496.7,22.46,235.5,24.9,49.2
2304,68.2,17905,16467,17701,0.989,0.930,0.920,496.7,37.31,240.2,38.5,63.3
2304,99.2,25733,23947,25448,0.989,0.941,0.931,496.7,52.60,240.7,50.4,72.3
2304,119.5,31024,28841,30696,0.989,0.940,0.930,496.7,63.49,240.9,60.8,81.2
2304,178.8,48004,43149,47300,0.985,0.912,0.899,496.5,97.83,241.6,100.3,151.7
2305,49.7,13101,11993,12892,0.984,0.930,0.916,496.6,27.47,239.1,30.5,51.7
2305,81.2,21082,19605,20817,0.987,0.942,0.930,496.7,43.40,240.6,42.7,62.7
2329,197.7,53735,48209,53010,0.987,0.909,0.897,496.3,110.22,238.3,114.1,197.6
2502,119.3,34123,31262,33698,0.988,0.928,0.916,496.6,70.40,239.1,69.2,108.0
2503,89.9,25463,23567,25187,0.989,0.936,0.926,496.6,52.55,238.6,50.5,95.9
2503,109.4,31161,28679,30813,0.989,0.931,0.920,496.6,64.37,239.5,61.6,102.0
2503,138.3,40100,36255,39560,0.987,0.916,0.904,496.6,82.48,239.3,85.2,126.0
2504,20.2,6033,5285,5939,0.984,0.890,0.876,497.0,13.39,229.7,15.2,119.8
2504,30.2,8820,7907,8667,0.983,0.912,0.896,496.9,19.11,234.4,20.8,111.2
2504,39.8,11532,10452,11349,0.984,0.921,0.906,497.0,24.33,238.9,26.3,106.4
2504,50.3,14379,13195,14197,0.987,0.929,0.918,496.9,29.85,239.2,30.3,102.4
2504,60.0,17109,15745,16869,0.986,0.933,0.920,497.0,35.37,237.7,34.9,92.9
2504,69.6,19733,18247,19506,0.988,0.935,0.925,496.7,40.82,237.7,39.8,93.0
2504,79.7,22558,20915,22315,0.989,0.937,0.927,496.8,46.59,238.2,45.1,94.0
2504,99.4,28116,26057,27773,0.988,0.938,0.927,496.7,57.90,238.7,55.9,98.1
2504,129.2,37241,33890,36773,0.987,0.922,0.910,496.4,76.10,238.9,77.2,118.8
2504,149.0,43382,39081,42745,0.985,0.914,0.901,496.5,88.83,239.9,93.2,134.6
2504,159.0,46987,41695,46243,0.984,0.902,0.887,496.5,95.83,240.4,101.9,148.1
2505,169.6,50293,44504,49521,0.985,0.899,0.885,496.3,102.65,240.8,110.0,163.5
2505,178.7,53754,46888,52857,0.983,0.887,0.872,496.2,109.40,240.4,118.7,184.4
2703,89.7,27580,25399,27277,0.989,0.931,0.921,496.7,57.11,238.6,53.9,99.8
2703,99.7,30721,28240,30381,0.989,0.930,0.919,496.7,63.71,239.6,59.8,102.4
2703,109.2,33630,30899,33261,0.989,0.929,0.919,496.6,69.41,240.2,65.2,105.5
2703,119.1,36841,33730,36429,0.989,0.926,0.916,496.5,75.97,240.6,73.0,112.8
2703,128.8,40243,36479,39768,0.988,0.917,0.906,496.8,82.99,240.8,81.5,122.4
2704,20.2,6591,5731,6511,0.988,0.880,0.869,497.0,14.58,232.1,15.4,107.4
2704,30.3,9539,8572,9423,0.988,0.910,0.899,497.0,20.43,237.2,20.9,102.9
2704,40.3,12445,11412,12285,0.987,0.929,0.917,497.1,25.98,237.6,25.5,98.8
2704,49.9,15517,14145,15310,0.987,0.924,0.912,496.7,32.22,238.2,30.6,96.8
2704,59.6,18282,16892,18145,0.992,0.931,0.924,496.9,37.78,238.5,35.7,95.5
2704,69.8,21358,19761,21133,0.989,0.935,0.925,497.0,44.20,239.1,41.0,95.4
2704,138.9,43658,39338,43025,0.985,0.914,0.901,496.5,89.54,240.5,91.8,135.5
2704,148.8,47309,42135,46646,0.986,0.903,0.891,496.5,96.98,240.7,102.9,146.0
2704,159.5,51170,45168,50486,0.987,0.895,0.883,496.2,104.89,239.4,110.7,164.2
2704,169.2,54925,47915,54152,0.986,0.885,0.872,496.3,115.48,238.6,121.5,180.8
2705,79.5,24385,22530,24084,0.988,0.935,0.924,496.6,50.44,239.4,46.4,96.2
3003,79.4,27104,24966,26897,0.992,0.928,0.921,496.5,56.11,240.2,50.0,99.5
3003,110.3,38169,34697,37779,0.990,0.918,0.909,496.6,78.90,240.6,74.3,120.6
3004,20.3,7354,6390,7281,0.990,0.878,0.869,497.1,16.13,235.3,15.5,105.5
3004,30.1,10676,9481,10574,0.990,0.897,0.888,497.1,22.53,236.4,21.4,100.9
3004,40.5,13990,12735,13820,0.988,0.922,0.910,496.9,29.04,237.4,27.0,98.4
3004,50.0,17241,15732,17077,0.990,0.921,0.913,496.9,35.71,238.4,32.7,97.3
3004,59.5,20437,18707,20247,0.991,0.924,0.915,497.0,42.31,238.8,38.4,96.9
3004,69.1,23541,21755,23334,0.991,0.932,0.924,496.7,48.93,239.4,43.8,97.4
3004,89.9,30775,28296,30479,0.990,0.928,0.919,496.5,63.86,240.1,57.8,104.4
3004,119.5,41719,37598,41203,0.988,0.913,0.901,496.7,86.13,241.0,84.7,129.4
3004,128.9,45493,40563,44856,0.986,0.904,0.892,496.4,93.52,240.7,95.7,138.7
3005,99.6,34111,31341,33737,0.989,0.929,0.919,496.7,70.08,240.9,63.3,109.5
3005,139.0,49554,43738,48894,0.987,0.895,0.883,496.3,102.34,238.9,106.6,154.6
3403,50.1,19571,17874,19375,0.990,0.923,0.913,497.1,40.31,238.8,35.9,97.4
3403,89.9,35413,32037,34975,0.988,0.916,0.905,496.7,72.82,239.7,69.0,110.0
3403,109.3,44010,38953,43429,0.987,0.897,0.885,496.4,90.01,240.6,91.2,128.8
3404,20.1,8197,7180,8122,0.991,0.885,0.877,497.2,17.58,235.0,17.0,106.9
3404,30.4,12007,10849,11895,0.991,0.912,0.904,497.3,25.09,236.3,23.6,100.4
3404,40.0,15631,14243,15498,0.992,0.919,0.911,497.1,32.38,237.7,29.6,98.2
3404,69.9,27239,24911,27008,0.992,0.922,0.915,496.9,56.12,239.7,50.1,99.7
3404,79.6,31217,28387,30908,0.990,0.918,0.909,496.6,64.26,239.8,58.3,105.3
3404,99.3,39436,35392,38955,0.988,0.909,0.897,496.6,81.04,239.9,80.0,120.2
3405,59.9,23347,21372,23199,0.994,0.921,0.915,497.0,48.08,240.2,42.0,97.6
3409,119.2,48236,42556,47675,0.988,0.893,0.882,496.2,99.82,237.9,100.4,140.8
3772,109.4,49553,43223,49133,0.992,0.880,0.872,499.0,105.18,236.4,101.0,164.9
3803,79.2,35399,31558,34967,0.988,0.903,0.892,499.2,72.26,239.3,70.8,112.2
3804,40.1,17816,15962,17626,0.989,0.906,0.896,499.6,36.60,238.6,33.9,75.6
3804,49.8,22185,19843,21879,0.986,0.907,0.894,499.5,45.43,236.3,44.7,78.8
3804,60.4,26877,24059,26482,0.985,0.908,0.895,499.5,55.17,235.6,55.8,84.8
3804,69.7,30798,27789,30509,0.991,0.911,0.902,499.2,62.71,240.2,57.2,100.5
3804,89.5,40491,35655,39939,0.986,0.893,0.881,499.1,82.36,240.5,84.9,125.4
3804,98.6,45021,39291,44410,0.986,0.885,0.873,499.0,91.37,241.0,95.6,140.2
3805,20.4,9393,8130,9314,0.992,0.873,0.865,499.7,19.87,240.7,17.1,75.1
3805,30.2,13564,12034,13446,0.991,0.895,0.887,499.5,28.05,241.4,23.7,73.9
4204,30.1,15204,13254,14982,0.985,0.885,0.872,499.5,31.38,235.7,32.1,101.8
4204,40.2,20108,17721,19851,0.987,0.893,0.881,499.4,41.26,238.0,38.6,101.2
4204,50.3,24912,22139,24640,0.989,0.899,0.889,499.6,50.80,238.4,47.4,102.9
4204,59.8,29538,26338,29244,0.990,0.901,0.892,499.5,60.11,239.2,55.9,106.6
4204,69.6,34577,30664,34191,0.989,0.897,0.887,499.3,70.21,239.9,67.2,117.4
4204,79.7,39838,35087,39361,0.988,0.891,0.881,499.5,80.70,241.0,78.3,128.1
4204,89.4,45559,39365,45041,0.989,0.874,0.864,499.2,92.67,239.1,95.2,159.6
4205,20.2,10564,8884,10434,0.988,0.852,0.841,499.7,22.13,239.0,21.1,107.5
4604,30.0,16922,14463,16719,0.988,0.865,0.855,499.8,34.92,235.1,37.1,90.8
4604,40.4,22559,19499,22216,0.985,0.878,0.864,499.5,46.27,234.1,48.7,95.6
4604,50.4,28080,24293,27647,0.985,0.879,0.865,499.4,57.51,234.9,60.3,102.2
4604,69.4,38080,33450,37710,0.990,0.887,0.878,499.2,77.08,240.8,72.2,120.6
4605,20.2,11911,9732,11725,0.984,0.830,0.817,499.9,24.87,237.8,25.9,89.7
4605,60.1,32733,28996,32421,0.990,0.894,0.886,499.4,66.37,240.4,60.8,109.0
4606,79.7,44257,38452,43813,0.990,0.878,0.869,499.2,89.65,239.4,87.5,145.1
5003,40.1,24083,21005,23878,0.991,0.880,0.872,499.5,49.05,240.3,43.6,99.8
5004,50.1,30195,26252,29885,0.990,0.878,0.869,499.5,61.35,238.9,57.6,106.3
5004,59.8,36053,31347,35657,0.989,0.879,0.870,499.4,73.17,239.7,71.1,113.7
5005,30.0,18344,15734,18176,0.991,0.866,0.858,500.0,37.68,238.0,37.0,92.6
5005,69.9,43252,36650,42753,0.988,0.857,0.847,499.4,87.96,239.4,91.8,118.7
5006,20.0,12716,10495,12552,0.987,0.836,0.826,500.0,26.43,240.8,25.6,92.3
5402,41.3,26956,23349,26685,0.990,0.875,0.866,499.7,54.73,240.3,48.7,96.7
5403,49.8,32495,28169,32208,0.991,0.875,0.867,499.6,65.98,239.9,60.2,104.9
5404,30.3,20222,17157,20042,0.991,0.856,0.848,499.8,41.37,242.1,35.0,97.3
5405,20.7,14455,11699,14305,0.990,0.818,0.809,499.9,29.88,238.9,31.0,98.2
5406,59.9,39575,33884,39198,0.990,0.864,0.856,499.5,80.18,241.4,77.5,119.8
5804,29.6,21854,17979,21522,0.985,0.835,0.823,499.7,44.97,234.3,47.6,107.9
5804,40.0,28447,24311,28190,0.991,0.862,0.855,499.7,57.90,238.8,53.8,111.9
5805,20.1,15197,12198,15050,0.990,0.811,0.803,499.9,31.49,240.9,30.8,108.3
5805,50.0,35466,30397,35120,0.990,0.866,0.857,499.6,71.92,240.3,67.8,120.5
5815,59.4,41730,36187,41341,0.991,0.875,0.867,499.5,85.71,237.2,78.1,150.8
6004,30.1,22279,18951,22050,0.990,0.859,0.851,499.7,45.48,239.5,42.4,97.5
6005,20.3,15604,12781,15440,0.990,0.828,0.819,500.1,32.10,241.8,31.0,93.4
6005,40.1,29403,25214,29093,0.989,0.867,0.858,499.7,59.79,239.6,53.9,102.9
6005,49.4,36322,31044,36006,0.991,0.862,0.855,499.6,73.60,240.7,68.2,117.0
